Line,Staff,StartTime,EndTime
1,3,2018-03-05 22:50:29,2018-03-06 06:40:00
1,3,2018-03-06 06:30:03,2018-03-06 15:00:03
1,3,2018-03-06 14:50:03,2018-03-06 23:00:03
1,3,2018-03-06 22:50:03,2018-03-07 06:40:03
1,3,2018-03-07 06:30:03,2018-03-07 15:00:03
1,3,2018-03-07 14:50:03,2018-03-07 23:00:03
1,3,2018-03-07 22:50:03,2018-03-08 06:40:03
1,3,2018-03-08 06:30:03,2018-03-08 07:23:50
1,4,2018-03-08 07:23:54,2018-03-08 15:00:00
1,4,2018-03-08 14:50:04,2018-03-08 23:00:04
1,4,2018-03-08 22:50:04,2018-03-09 06:40:04
1,4,2018-03-09 06:30:04,2018-03-09 15:00:00
1,2,2018-03-09 13:40:20,2018-03-09 15:00:00
1,3,2018-03-09 13:40:21,2018-03-09 15:00:00
1,2,2018-03-09 14:50:02,2018-03-09 20:58:56
1,3,2018-03-09 14:50:03,2018-03-09 20:58:56
1,4,2018-03-09 14:50:04,2018-03-09 23:00:00
1,4,2018-03-09 22:50:04,2018-03-10 06:40:04
1,4,2018-03-10 06:30:04,2018-03-10 15:00:04
1,4,2018-03-10 14:50:04,2018-03-10 23:00:04
1,4,2018-03-10 22:50:04,2018-03-11 06:40:04
1,4,2018-03-11 06:30:04,2018-03-11 12:19:34
1,3,2018-03-11 12:19:33,2018-03-11 15:00:00
1,3,2018-03-11 14:50:03,2018-03-11 23:00:03
1,3,2018-03-11 22:50:03,2018-03-12 06:40:03
1,3,2018-03-12 06:30:03,2018-03-12 15:00:03
1,3,2018-03-12 14:50:03,2018-03-12 23:00:03
1,3,2018-03-12 22:50:03,2018-03-13 06:40:03
1,3,2018-03-13 06:30:03,2018-03-13 15:00:03
1,3,2018-03-13 14:50:03,2018-03-13 23:00:03
1,3,2018-03-13 22:50:03,2018-03-14 06:40:03
1,3,2018-03-14 06:30:03,2018-03-14 15:00:03
1,3,2018-03-14 14:50:03,2018-03-14 23:00:03
1,3,2018-03-14 22:50:03,2018-03-15 06:40:03
1,3,2018-03-15 06:30:03,2018-03-15 15:00:03
1,3,2018-03-15 14:50:03,2018-03-15 22:32:52
1,4,2018-03-15 22:32:56,2018-03-15 23:00:00
1,4,2018-03-15 22:50:04,2018-03-16 06:40:04
1,4,2018-03-16 06:30:04,2018-03-16 15:00:04
1,4,2018-03-16 14:50:04,2018-03-16 23:00:04
1,4,2018-03-16 22:50:04,2018-03-17 06:40:04
1,4,2018-03-17 06:30:04,2018-03-17 15:00:04
1,4,2018-03-17 14:50:04,2018-03-17 23:00:04
1,4,2018-03-17 22:50:04,2018-03-18 06:40:04
1,4,2018-03-18 06:30:04,2018-03-18 15:00:04
1,4,2018-03-18 14:50:04,2018-03-18 23:00:00
1,3,2018-03-18 22:41:21,2018-03-18 23:00:00
1,3,2018-03-18 22:50:03,2018-03-19 06:40:03
1,4,2018-03-18 22:50:04,2018-03-19 06:40:04
1,3,2018-03-19 06:30:03,2018-03-19 15:00:03
1,4,2018-03-19 06:30:04,2018-03-19 15:00:04
1,3,2018-03-19 14:50:03,2018-03-19 23:00:03
1,4,2018-03-19 14:50:04,2018-03-19 23:00:04
1,3,2018-03-19 22:50:03,2018-03-20 06:40:03
1,4,2018-03-19 22:50:04,2018-03-20 06:40:04
1,3,2018-03-20 06:30:03,2018-03-20 15:00:03
1,4,2018-03-20 06:30:04,2018-03-20 15:00:04
1,3,2018-03-20 14:50:03,2018-03-20 23:00:03
1,4,2018-03-20 14:50:04,2018-03-20 23:00:04
1,3,2018-03-20 22:50:03,2018-03-21 02:46:44
1,4,2018-03-20 22:50:04,2018-03-21 06:40:00
1,1,2018-03-21 02:46:47,2018-03-21 06:40:00
1,1,2018-03-21 06:30:01,2018-03-21 06:58:46
1,4,2018-03-21 06:30:04,2018-03-21 06:58:46
1,3,2018-03-21 06:58:49,2018-03-21 15:00:00
1,3,2018-03-21 14:50:03,2018-03-21 23:00:03
1,3,2018-03-21 22:50:03,2018-03-22 06:40:03
1,3,2018-03-22 06:30:03,2018-03-22 15:00:03
1,3,2018-03-22 14:50:03,2018-03-22 23:00:03
1,3,2018-03-22 22:50:03,2018-03-23 06:40:00
1,3,2018-03-23 06:30:03,2018-03-23 15:00:00
1,4,2018-03-23 06:35:22,2018-03-23 15:00:00
1,3,2018-03-23 14:50:03,2018-03-23 23:00:00
1,4,2018-03-23 14:50:04,2018-03-23 15:55:46
1,1,2018-03-23 15:55:49,2018-03-23 23:00:00
1,1,2018-03-23 22:50:01,2018-03-24 06:40:01
1,3,2018-03-23 22:50:03,2018-03-24 06:40:03
1,1,2018-03-24 06:30:01,2018-03-24 15:00:01
1,3,2018-03-24 06:30:03,2018-03-24 15:00:03
1,1,2018-03-24 14:50:01,2018-03-24 23:00:01
1,3,2018-03-24 14:50:03,2018-03-24 23:00:03
1,1,2018-03-24 22:50:01,2018-03-25 06:40:01
1,3,2018-03-24 22:50:03,2018-03-25 06:40:03
1,1,2018-03-25 06:30:01,2018-03-25 15:00:01
1,3,2018-03-25 06:30:03,2018-03-25 15:00:03
